product_name,category,old_price,price,discount_percentage,product_url,image_url,source_page,page_number,raw_text
WHIRLPOOL CONG HORIZ WCF 28DA+ S...,Congélateur,3299.0,3099.0,6,https://www.electroplanet.ma/p3121388-cong-horiz-wcf-28da-sna-a-205l-dualcool-slv-wh.html?from=promo,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",promotions,2,WHIRLPOOL CONG HORIZ WCF 28DA+ S... Promo Prix normal 3 299 DH Prix Spécial 3 099 DH -6% Ajouter au panier
SAMSUNG BARRE DE SON HW-B400F/...,Autre,1399.0,1099.0,21,https://www.electroplanet.ma/p3102127-barre-de-son-hw-b400f-mv-2-0-samsung.html?from=promo,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",promotions,2,SAMSUNG BARRE DE SON HW-B400F/... Promo Prix normal 1 399 DH Prix Spécial 1 099 DH -21% Ajouter au panier
TEFAL COCOTTE INOX 6L SECURE...,Cuisine,1199.0,699.0,41,https://www.electroplanet.ma/p3084757-cocotte-inox-6l-secure-5-compact-p3530734-tefal.html?from=promo,https://prod2-media.electroplanet.ma/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/3/0/3084757-cb-62779_1.png,promotions,2,TEFAL COCOTTE INOX 6L SECURE... Promo Prix normal 1 199 DH Prix Spécial 699 DH -41% Ajouter au panier
TEFAL FRITEUSE DUAL EASY FRY...,Cuisine,2799.0,1999.0,28,https://www.electroplanet.ma/p3116241-friteuse-dual-easy-fry-ey9228e0-9l-noir-tefal.html?from=promo,https://prod2-media.electroplanet.ma/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/3/1/3116241-cb-62757_1.png,promotions,2,TEFAL FRITEUSE DUAL EASY FRY... Promo Prix normal 2 799 DH Prix Spécial 1 999 DH -28% Ajouter au panier
MOULINEX EXTRACTEUR JUS AUTOCLE...,Autre,2999.0,2499.0,16,https://www.electroplanet.ma/p3116242-extracteur-jus-autoclean-zu600110-moulinex.html?from=promo,https://prod2-media.electroplanet.ma/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/3/1/3116242-cb-62745_1.png,promotions,2,MOULINEX EXTRACTEUR JUS AUTOCLE... Promo Prix normal 2 999 DH Prix Spécial 2 499 DH -16% Ajouter au panier
MOULINEX PANINI ULTRACOMPACT SM...,Autre,349.0,199.0,42,https://www.electroplanet.ma/p3116215-panini-ultracompact-sm2118m2-700w-noir-moulinex.html?from=promo,https://prod2-media.electroplanet.ma/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/3/1/3116215-cb-65384_1.png,promotions,2,MOULINEX PANINI ULTRACOMPACT SM... Promo Prix normal 349 DH Prix Spécial 199 DH -42% Ajouter au panier
ASUS ASUS GAMER ROGU9 RTX50...,Autre,39999.0,36999.0,7,https://www.electroplanet.ma/p3116075-asus-gamer-rogu9-rtx5080-g635lw-32gb-1t-w11.html?from=promo,https://prod2-media.electroplanet.ma/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/3/1/3116075-cb-62939_1.png,promotions,3,ASUS ASUS GAMER ROGU9 RTX50... Promo Prix normal 39 999 DH Prix Spécial 36 999 DH -7% Ajouter au panier
TAURUS HACHOIR STORM POWER 3 ...,Autre,599.0,349.0,41,https://www.electroplanet.ma/p3115852-hachoir-storm-power-3-600w-taurus.html?from=promo,https://prod2-media.electroplanet.ma/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/3/1/3115852-cb-64351_1.png,promotions,3,TAURUS HACHOIR STORM POWER 3 ... Promo Prix normal 599 DH Prix Spécial 349 DH -41% Ajouter au panier
AOC MONITEUR ECRAN PC GA...,Ordinateur,1099.0,999.0,9,https://www.electroplanet.ma/p3115777-moniteur-ecran-pc-gaming-24-24b36x-89-aoc.html?from=promo,https://prod2-media.electroplanet.ma/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/3/1/3115777-cb-62922_1.png,promotions,3,AOC MONITEUR ECRAN PC GA... Promo Prix normal 1 099 DH Prix Spécial 999 DH -9% Ajouter au panier
SAMSUNG BARRE DE SON HW-B450F/...,Autre,2099.0,1749.0,16,https://www.electroplanet.ma/p3102128-barre-de-son-hw-b450f-mv-2-1-samsung.html?from=promo,https://prod2-media.electroplanet.ma/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/3/1/3102128-cb-62534_1.png,promotions,3,SAMSUNG BARRE DE SON HW-B450F/... Promo Prix normal 2 099 DH Prix Spécial 1 749 DH -16% Ajouter au panier
SAMSUNG LED UA85U8000FUXMV SAMSUNG,TV,17999.0,14499.0,19,https://www.electroplanet.ma/p3107537-led-ua85u8000fuxmv-samsung.html?from=promo,https://prod2-media.electroplanet.ma/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/3/1/3107537-cb-62681_1.png,promotions,3,SAMSUNG LED UA85U8000FUXMV SAMSUNG Promo Prix normal 17 999 DH Prix Spécial 14 499 DH -19% Ajouter au panier
"MSI CYBORG I7 240H 15,6 14...",Autre,14999.0,14499.0,3,https://www.electroplanet.ma/p3114820-cyborg-i7-240h-15-6-144hz-16g-512g-rtx5050-bag-ms.html?from=promo,https://prod2-media.electroplanet.ma/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/3/1/3114820-cb-62622_1.png,promotions,3,"MSI CYBORG I7 240H 15,6 14... Promo Prix normal 14 999 DH Prix Spécial 14 499 DH -3% Ajouter au panier"
HISENSE QLED 50Q6N HISENSE,TV,5999.0,4799.0,20,https://www.electroplanet.ma/p3114606-qled-50q6n-hisense.html?from=promo,https://prod2-media.electroplanet.ma/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/3/1/3114606-cb-63508_1.png,promotions,3,HISENSE QLED 50Q6N HISENSE Promo Prix normal 5 999 DH Prix Spécial 4 799 DH -20% Ajouter au panier
HAIER QLED H55Q80FUX HAIER,TV,6999.0,5199.0,25,https://www.electroplanet.ma/p3106269-qled-h55q80fux-haier.html?from=promo,https://prod2-media.electroplanet.ma/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/3/1/3106269-cb-62433_1.png,promotions,3,HAIER QLED H55Q80FUX HAIER Promo Prix normal 6 999 DH Prix Spécial 5 199 DH -25% Ajouter au panier
FUNWAY TWS EARBUDS DB-25010 FUNWAY,Accessoires,299.0,189.0,36,https://www.electroplanet.ma/p3103939-tws-earbuds-db-25010-funway.html?from=promo,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",promotions,3,FUNWAY TWS EARBUDS DB-25010 FUNWAY Promo 97% (6) Prix normal 299 DH Prix Spécial 189 DH -36% Ajouter au panier
FUNWAY TWS EARBUDS DB-25009 FUNWAY,Accessoires,349.0,229.0,34,https://www.electroplanet.ma/p3103938-tws-earbuds-db-25009-funway.html?from=promo,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",promotions,3,FUNWAY TWS EARBUDS DB-25009 FUNWAY Promo 80% (1) Prix normal 349 DH Prix Spécial 229 DH -34% Ajouter au panier
FUNWAY TWS EARBUDS DB-25007 FUNWAY,Accessoires,349.0,229.0,34,https://www.electroplanet.ma/p3103937-tws-earbuds-db-25007-funway.html?from=promo,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",promotions,3,FUNWAY TWS EARBUDS DB-25007 FUNWAY Promo 80% (2) Prix normal 349 DH Prix Spécial 229 DH -34% Ajouter au panier
FUNWAY DESKTOP WIRELESS CHARG...,Autre,299.0,149.0,50,https://www.electroplanet.ma/p3103936-desktop-wireless-charger-db-25006-funway.html?from=promo,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",promotions,3,FUNWAY DESKTOP WIRELESS CHARG... Promo Prix normal 299 DH Prix Spécial 149 DH -50% Ajouter au panier
FUNWAY TWS EARBUDS DB-25005 FUNWAY,Accessoires,299.0,189.0,36,https://www.electroplanet.ma/p3103935-tws-earbuds-db-25005-funway.html?from=promo,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",promotions,3,FUNWAY TWS EARBUDS DB-25005 FUNWAY Promo Prix normal 299 DH Prix Spécial 189 DH -36% Ajouter au panier
FUNWAY TWS EARBUDS DB-25004 FUNWAY,Accessoires,199.0,149.0,25,https://www.electroplanet.ma/p3103934-tws-earbuds-db-25004-funway.html?from=promo,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",promotions,3,FUNWAY TWS EARBUDS DB-25004 FUNWAY Promo Prix normal 199 DH Prix Spécial 149 DH -25% Ajouter au panier
SAMSUNG QLED QA65Q6FAAUXMV SAMSUNG,TV,8799.0,7599.0,13,https://www.electroplanet.ma/p3113350-qled-qa65q6faauxmv-samsung.html?from=promo,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",promotions,3,SAMSUNG QLED QA65Q6FAAUXMV SAMSUNG Promo Prix normal 8 799 DH Prix Spécial 7 599 DH -13% Ajouter au panier
TAURUS NETTOYEUR CANAPET VORT...,Nettoyage,1699.0,1499.0,11,https://www.electroplanet.ma/p3113420-nettoyeur-canapet-vortex-600-taurus.html?from=promo,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",promotions,3,TAURUS NETTOYEUR CANAPET VORT... Promo Prix normal 1 699 DH Prix Spécial 1 499 DH -11% Ajouter au panier
